id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,_3_4_methylenedioxyphenylacetone,_4f_mdmb_butinaca,_5f_adb,_5f_mdmb_pica,abime,acetylcodeine,acetylthebaol,acide_4_hydroxybutanoique,adb_butinaca,amidon,amphetamine,buprenorphine,cafeine,cbd,cbn,clonazepam,cocaine,codeine,couleur,couleur_exterieur,couleur_exterieur_1,couleur_exterieur_2,couleur_interieur,delta8_tetrahydrocannabinol,delta9_tetrahydrocannabinol,diametre,epaisseur,etiquette,forme,fub_amb,gammabutyrolactone,hauteur,ketamine,lactose,largeur,levamisole,lidocaine,logo,longueur,mannitol,masse,mdmb_4en_pinaca,morphine,n_methyl_tryptamine,nom_de_logo,noscapine,numero_echantillon,o6_monoacetylmorphine,ovule,paracetamol,phenacetine,presentation,procaine,secabilite_recto,secabilite_verso,taux_cbd,taux_cbn,type_drogue,vanilline,visqueux
890,,,,,,,,,,,,,,,,,,,0,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,2,,0,,,,,,,,,Divers,,
899,,,,,,,,,,,,,,,37.1,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,S2,,0,68.2,,,,,,,,Divers,,
900,,,,,,,,,,,,,,,37.1,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,S3,,0,68.2,,,,,,,,Divers,,
907,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,10.09,4.39,,Circulaire,,,,,,,,,Oui,,,337,,,,symbole indéterminé  031 B,,1-1,,,,,,,Aucune,Demi,,,Divers,,
908,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,10.09,4.39,,Circulaire,,,,,,,,,Oui,,,337,,,,symbole indéterminé  031 B,,1-2,,,,,,,Aucune,Demi,,,Divers,,
909,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,10.09,4.39,,Circulaire,,,,,,,,,Oui,,,337,,,,symbole indéterminé  031 B,,1-3,,,,,,,Aucune,Demi,,,Divers,,
910,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,3,,0,,,,,,,,,Divers,,
912,,,,,,,,,,,,,,,,,,,,,Grise,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,20_066172,,0,,,,,,,,,Divers,,
926,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,10.09,4.39,,Circulaire,,,,,,,,,Oui,,,337,,,,symbole indéterminé 031 B,,1-1,,,,,,,Aucune,Demi,,,Divers,,
927,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,10.09,4.39,,Circulaire,,,,,,,,,Oui,,,337,,,,symbole indéterminé 031 B,,1-2,,,,,,,Aucune,Demi,,,Divers,,
