,id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,_3_4_methylenedioxyphenylacetone,_4f_mdmb_butinaca,_5f_adb,_5f_mdmb_pica,abime,acetylcodeine,acetylthebaol,acide_4_hydroxybutanoique,acide_benzoique,acide_borique,adb_butinaca,amidon,aminopyrine,amoxycilline,amphetamine,benzocaine,benzoylecgonine,bicarbonate_de_sodium,bicarbonates,buprenorphine,cafeine,cannabidiol,cannabigerol,cannabinol,cbd,cbn,cis_cinnamoylcocaine,clonazepam,clotrimazole,cocaine,codeine,couleur,couleur_exterieur,couleur_exterieur_1,couleur_exterieur_2,couleur_interieur,creatine,delta8_tetrahydrocannabinol,delta9_tetrahydrocannabinol,description_de_l_objet,dextromethorphane,diametre,diltiazem,dimethylterephtalate,diphenydramine,ecgonidine,ecgoninemethylester,epaisseur,etiquette,forme,fub_amb,gammabutyrolactone,glucose,griseofulvine,guaifenesine,hauteur,heroine,hydroxyzine,ibuprofene,inositol,isoleucine,ketamine,lactitol,lactose,largeur,leucine,levamisole,lidocaine,logo,longueur,maltose,mannitol,masse,mdmb_4en_pinaca,meconine,methamphetamine,methylecgonidine,monoacetylmorphine,morphine,nicotine,n_methyl_tryptamine,nom_de_logo,norcocaine,noscapine,numero_echantillon,o3_monoacetylmorphine_,o6_monoacetylmorphine,ovule,oxycodone,papaverine,paracetamol,phenacetine,piracetam,presentation,procaine,pv8,saccharose,secabilite_recto,secabilite_verso,sorbitol,talc,taux_cbd,taux_cbn,terephtalates,tetracaine,tramadol,trans_cinnamoylcocaine,tropacocaine,type_drogue,uree,valine,vanilline,visqueux
12348,12426,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,Beige,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,33,,,0,,,,,,,,,,,,,,92.2,0,,,,,,Cannabis,,,,
12349,12427,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,Blanche,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,34,,,0,,,,,,,,,,,,,,100,0,,,,,,Cannabis,,,,
12350,12428,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,Beige,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,35,,,0,,,,,,,,,,,,,,97.6,0,,,,,,Cannabis,,,,
12351,12429,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,Beige,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,36,,,0,,,,,,,,,,,,,,100.9,0,,,,,,Cannabis,,,,
12352,12430,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,37,,,0,,,,,,,,,,,,,,103.5,,,,,,,Cannabis,,,,
12353,12431,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,sachet liseré vert,,,,,,,,,Sommités,,,,,,,,3,3,,,,,,Cannabis,,,,
12354,12432,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,sachet liseré rouge,,,,,,,,,Sommités,,,,,,,,3,3,,,,,,Cannabis,,,,
12355,12433,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,sachet liseré vert,,,,,,,,,Sommités,,,,,,,,3,3,,,,,,Cannabis,,,,
12356,12434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,Non,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
12357,12435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,Non,,,,,,,,,,,,,,,,2,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
12358,12436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,Non,,,,,,,,,,,,,,,,3,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
12359,12437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,02,,,0,,,,,,,,,,,,,,,,,,,,,Divers,,,,
12360,12438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,01,,,0,,,,,,,,,,,,,,,,,,,,,Divers,,,,
12361,12439,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,Jaune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,22,,,0,,,,,,,,,,,,,,0,0,,,,,,Cannabis,,,,
12362,12440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
12363,12441,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,34.1,,,,,,,,,,,,Non,,,,,,,,,,,,,,,0,6223,,,0,,,11.7,,,,,,,,,,,,,,,,,,Héroïne,,,,
