id,_3_4_methylenedioxyethylamphetamine,abime,acide_benzoique,acide_borique,amidon,aminopyrine,amoxycilline,amphetamine,benzocaine,benzoylecgonine,bicarbonate_de_sodium,bicarbonates,cafeine,cbn,cis_cinnamoylcocaine,cocaine,codeine,couleur,couleur_exterieur,couleur_interieur,creatine,delta9_tetrahydrocannabinol,description_de_l_objet,diltiazem,dimethylterephtalate,diphenydramine,ecgonidine,ecgoninemethylester,epaisseur,forme,glucose,guaifenesine,hauteur,heroine,hydroxyzine,ibuprofene,inositol,isoleucine,lactitol,lactose,largeur,leucine,levamisole,lidocaine,logo,maltose,mannitol,masse,methylecgonidine,nicotine,nom_de_logo,norcocaine,numero_echantillon,ovule,oxycodone,paracetamol,phenacetine,piracetam,presentation,procaine,pv8,saccharose,secabilite_recto,secabilite_verso,sorbitol,talc,taux_cbn,terephtalates,tetracaine,tramadol,trans_cinnamoylcocaine,tropacocaine,type_drogue,uree,valine,visqueux
245,,,,,,,,,,,,,,,,71.8,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,Non,,,,,,,,1K,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
246,,,,,,,,,,,,,,,,54.9,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,Non,,,,,,,,A1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
247,,,,,,,,,,,,,,,,51.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,Non,,,,,,,,A2,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
248,,,,,,,,,,,,,,,,59.6,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,Non,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
273,,,,,,,,,,,,,,,,64.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,Non,,,,,,,,11-1,0,,,0,,,,,,,,,,,,,,,,Cocaïne,,,
274,,,,,,,,,,,,,,,,64.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,Non,,,,,,,,11-3,0,,,0,,,,,,,,,,,,,,,,Cocaïne,,,
275,,,,,,,,,,,,,,,,64.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,Non,,,,,,,,11-13,0,,,0,,,,,,,,,,,,,,,,Cocaïne,,,
276,,,,,,,,,,,,,,,,86,,Blanc Cassé,,,,,,,,,,,,,,,,,,,,,,,,,0,,Non,,,,,,,,11-2,0,,,0,,,,,,,,,,,,,,,,Cocaïne,,,
277,,,,,,,,,,,,,,,,86,,Blanc Cassé,,,,,,,,,,,,,,,,,,,,,,,,,0,,Non,,,,,,,,11-5,0,,,0,,,,,,,,,,,,,,,,Cocaïne,,,
278,,,,,,,,,,,,,,,,86,,Blanc Cassé,,,,,,,,,,,,,,,,,,,,,,,,,0,,Non,,,,,,,,11-6,0,,,0,,,,,,,,,,,,,,,,Cocaïne,,,
279,,,,,,,,,,,,,,,,68.8,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,Non,,,,,,,,11-4,0,,,0,,,,,,,,,,,,,,,,Cocaïne,,,
280,,,,,,,,,,,,,,,,68.8,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,Non,,,,,,,,11-8,0,,,0,,,,,,,,,,,,,,,,Cocaïne,,,
283,,,,,,,,,,,,,,,,72,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,Non,,,,,,,,11-10,0,,,0,,,,,,,,,,,,,,,,Cocaïne,,,
284,,,,,,,,,,,,,,,,72,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,Non,,,,,,,,11-12,0,,,0,,,,,,,,,,,,,,,,Cocaïne,,,
285,,,,,,,,,,,,,,,,74.9,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,Non,,,,,,,,11-7,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
286,,,,,,,,,,,,,,,,67.4,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,11-9,0,,,15.8,,,,,,,,,,,,,,,,Cocaïne,,,
289,,,,,,,,,,,,,,,,72,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
290,,,,,,,,,,,,,,,,71,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
291,,,,,,,,,,,,,,,,64,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
292,,,,,,,,,,,,,,,,62,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
293,,,,,,,,,,,,,,,,61,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,Cocaïne,,,
294,,,,,,,,,,,,,,,,69,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,5,,,,,,,,,,,,,,,,Cocaïne,,,
296,,,,,,,,,,,,,,,,84,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,20,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
298,,,,,,,,,,,,,,,,33,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,30,0,,58,,,,,,,,,,,,,,,,,Cocaïne,,,
335,,,,,,,,,,,,,,,,0,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,A15,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
340,,,,,,,,,,,,,,,,70,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,Non,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,Cocaïne,,,
341,,,,,,,,,,,,,,,,79.9,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,5364,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
345,,,,,,,,,,,,,0,,,58.9,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Non,,,,,,,,1,0,,,0,,,,,,,,,,,,,,,,Cocaïne,,,
346,,,,,,,,,,,,,,,,78.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
359,,,,,,,,,,,,,0,,,90,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,20_066051,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
361,,,,,,,,,,,,,,,,92,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,5372,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
362,,,,,,,,,,,,,0,,,68.9,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,18.8,,Non,,,,,,,,A1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
364,,,,,,,,,,,,,,,,78.4,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,0,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
365,,,,,,,,,,,,,,,,78.6,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
366,,,,,,,,,,,,,,,,89.1,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
367,,,,,,,,,,,,,,,,70.2,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,4,,Non,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,Cocaïne,,,
368,,,,,,,,,,,,,,,,83.6,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,0,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
369,,,,,,,,,,,,,,,,64.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
