id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,abime,amphetamine,cafeine,couleur,couleur_exterieur,couleur_interieur,diametre,epaisseur,forme,hauteur,largeur,lidocaine,logo,masse,methamphetamine,nom_de_logo,numero_echantillon,ovule,phenacetine,secabilite_recto,secabilite_verso,type_drogue,visqueux
7106,0,,Non,,,,Orange,,,4.84,Triangulaire,9.67,12.68,,Oui,404,,Maybach - 2 M entrelacés,1-2-3m,,,Aucune,Aucune,Amphétamine et dérivés,
7107,0,,Non,,,,Orange,,,4.84,Triangulaire,9.67,12.68,,Oui,404,,Maybach - 2 M entrelacés,1-3-1m,,,Aucune,Aucune,Amphétamine et dérivés,
7108,0,,Non,,,,Orange,,,4.84,Triangulaire,9.67,12.68,,Oui,404,,Maybach - 2 M entrelacés,1-3-5m,,,Aucune,Aucune,Amphétamine et dérivés,
7109,0,,Non,,,,Orange,,,4.84,Triangulaire,9.67,12.68,,Oui,404,,Maybach - 2 M entrelacés,1-4-1m,,,Aucune,Aucune,Amphétamine et dérivés,
7110,0,,Non,,,,Orange,,,4.84,Triangulaire,9.67,12.68,,Oui,404,,Maybach - 2 M entrelacés,1-4-3m,,,Aucune,Aucune,Amphétamine et dérivés,
7111,,,,0,,Blanc Cassé,,,,,,,,,Non,,,,21_115054,0,,,,Amphétamine et dérivés,
7118,0,,Non,,0,,Orange,,,4.83,Triangulaire,9.66,12.64,,Oui,419,,Maybach - 2 M entrelacés,1-3-4m,,,Aucune,Aucune,Amphétamine et dérivés,
7119,33,,Non,,,,Bleue,,,5.3,Triangulaire,9.6,12.58,,Oui,474,,Maybach - 2 M entrelacés,1-4-1mb,,,Aucune,Aucune,Amphétamine et dérivés,
7168,,,,,,Translucide,,,,,,,,,Non,,100,,2-1,0,,,,Amphétamine et dérivés,
7169,,,,,,Translucide,,,,,,,,,Non,,100,,2-2,0,,,,Amphétamine et dérivés,
7176,35,,Non,,,,Rose,,,4.85,Polygonale,10.09,14.11,,Oui,502.1,,The punisher,6-1,,,Aucune,Demi,Amphétamine et dérivés,
7177,35,,Non,,,,Rose,,,4.85,Polygonale,10.09,14.11,,Oui,489,,The punisher,6-2,,,Aucune,Demi,Amphétamine et dérivés,
7254,,,Non,0,6,,Bleue,,,4.76,Autre,11.99,9.1,,Oui,443.3,,Donald TRUMP,6-1-1,,,Aucune,Demi,Amphétamine et dérivés,
7255,,,Non,0,,,Bleue,,,4.76,Autre,11.99,9.1,,Oui,441,,Donald TRUMP,6-1-2,,,Aucune,Demi,Amphétamine et dérivés,
7256,,,Non,0,,,Bleue,,,4.76,Autre,11.99,9.1,,Oui,441,,Donald TRUMP,6-1-3,,,Aucune,Demi,Amphétamine et dérivés,
7257,,,Non,0,,,Bleue,,,4.76,Autre,11.99,9.1,,Oui,441,,Donald TRUMP,6-1-4,,,Aucune,Demi,Amphétamine et dérivés,
7258,,,Non,4,3,,Bleue,,,4.76,Autre,11.99,9.1,,Oui,503.7,,Donald TRUMP,6-1-2,,,Aucune,Demi,Amphétamine et dérivés,
7259,,,Non,0,,,Bleue,,,5.61,Autre,12.08,9.32,,Oui,542.3,,Donald TRUMP,6-2-1,,,Aucune,Demi,Amphétamine et dérivés,
7260,,,Non,0,,,Bleue,,,5.61,Autre,12.08,9.32,,Oui,542.3,,Donald TRUMP,6-2-2,,,Aucune,Demi,Amphétamine et dérivés,
7261,,,Non,0,,,Bleue,,,5.61,Autre,12.08,9.32,,Oui,542.3,,Donald TRUMP,6-2-3,,,Aucune,Demi,Amphétamine et dérivés,
7262,,,Non,0,,,Bleue,,,5.61,Autre,12.08,9.32,,Oui,542.3,,Donald TRUMP,6-2-4,,,Aucune,Demi,Amphétamine et dérivés,
7265,22.6,,Non,,,,Grise,Grise,,11.66,Polygonale,13.66,4.8,,Oui,531,,Punisher tête de mort,5,,,Aucune,Demi,Amphétamine et dérivés,
