id,_3_4_methylene_dioxy_methylamphetamine,acetylcodeine,acetylthebaol,cafeine,clotrimazole,cocaine,couleur,description_de_l_objet,dextromethorphane,griseofulvine,heroine,logo,mannitol,meconine,monoacetylmorphine,morphine,nom_de_logo,noscapine,numero_echantillon,o3_monoacetylmorphine_,o6_monoacetylmorphine,ovule,papaverine,paracetamol,phenacetine,presentation,saccharose,type_drogue
1292,,,,27.6,,,Beige,,,,10.1,Non,,,,,,0,R4,,,0,,54.7,,,,Héroïne
1293,,,,27.6,,,Beige,,,,10.1,Non,,,,,,0,R5,,,0,,54.7,,,,Héroïne
1294,,,,27.6,,,Beige,,,,10.1,Non,,,,,,0,R6,,,0,,54.7,,,,Héroïne
1295,,,,27.6,,,Beige,,,,10.1,Non,,,,,,0,EP1A,,,0,,54.7,,,,Héroïne
1297,,,,31.4,,,Beige,,,,4.4,Non,,,,,,0,E1,,,0,,62.3,,,,Héroïne
1298,,,,31.8,,,Beige,,,,4.4,Non,,,,,,0,E2,,,0,,63.4,,,,Héroïne
1299,,,,9,,,Beige,,,,41.3,Non,,,,,,16.5,E3,,,0,,17.6,,,,Héroïne
1300,,,,9,,,Beige,,,,41.3,Non,,,,,,16.5,E4,,,0,,17.6,,,,Héroïne
1301,,,,9,,,Beige,,,,41.3,Non,,,,,,16.5,JTS,,,0,,17.6,,,,Héroïne
1304,,,,29.4,,,Beige,,,,6.9,Non,,,,,,0,E7,,,0,,59.1,,,,Héroïne
1305,,,,29.3,,,Beige,,,,4.5,Non,,,,,,0,EP2,,,0,,58.4,,,,Héroïne
1306,,,,31.2,,,Beige,,,,4.6,Non,,,,,,0,JT4,,,0,,62.6,,,,Héroïne
1307,,,,31.3,,,Beige,,,,3.5,Non,,,,,,0,JT5,,,0,,63.1,,,,Héroïne
1319,,,,24.24,,,Beige,,,,11.6,Non,,,3,,,5.3,P1,,,0,,49.9,,,,Héroïne
1320,,,,24.24,,,Beige,,,,11.6,Non,,,3,,,5.3,P2,,,0,,49.9,,,,Héroïne
1321,,,,24.24,,,Beige,,,,11.6,Non,,,3,,,5.3,P1,,,0,,49.9,,,,Héroïne
1322,,,,24.24,,,Beige,,,,11.6,Non,,,3,,,5.3,P2,,,0,,49.9,,,,Héroïne
1323,,,,24.24,,,Beige,,,,11.6,Non,,,3,,,5.3,P2,,,0,,49.9,,,,Héroïne
1360,,,,,,,Beige,,,,59,Non,,,,,,21.3,11,,,0,,,,,,Héroïne
1404,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 2 B1,,,0,,43.7,,,,Héroïne
1405,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 2 B2,,,0,,43.7,,,,Héroïne
1406,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 2 B3,,,0,,43.7,,,,Héroïne
1407,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 2 B4,,,0,,43.7,,,,Héroïne
1408,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 2 B5,,,0,,43.7,,,,Héroïne
1409,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 2 B6,,,0,,43.7,,,,Héroïne
1410,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 2 B7,,,0,,43.7,,,,Héroïne
1411,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 3 B1,,,0,,43.7,,,,Héroïne
1412,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 3 B2,,,0,,43.7,,,,Héroïne
1413,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 3 B3,,,0,,43.7,,,,Héroïne
1414,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 3 B4,,,0,,43.7,,,,Héroïne
1415,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 3 B5,,,0,,43.7,,,,Héroïne
1416,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 3 B6,,,0,,43.7,,,,Héroïne
1417,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 3 B7,,,0,,43.7,,,,Héroïne
1418,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 2 noires B1,,,0,,43.7,,,,Héroïne
1419,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 2 noires B2,,,0,,43.7,,,,Héroïne
1420,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 2 noires B3,,,0,,43.7,,,,Héroïne
1421,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 2 noires B4,,,0,,43.7,,,,Héroïne
1422,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 2 noires B5,,,0,,43.7,,,,Héroïne
1423,,,,22.1,,,Beige,,,,15,Non,,,2,,,9.2,sachet 3 noires B1,,,0,,43.7,,,,Héroïne
