id,_3_4_methylenedioxyethylamphetamine,couleur,diametre,epaisseur,forme,hauteur,largeur,masse
2711,,Orange,0,4.96,Rectangulaire_Carré,7.1,12.14,411
2712,,Orange,0,4.96,Rectangulaire_Carré,7.1,12.14,411
2713,,Orange,0,4.96,Rectangulaire_Carré,7.1,12.14,411
2714,,Orange,0,4.96,Rectangulaire_Carré,7.1,12.14,411
2715,,Orange,0,4.91,Rectangulaire_Carré,7.18,12.24,392
2716,,Orange,0,4.91,Rectangulaire_Carré,7.18,12.24,392
2717,,Orange,0,4.91,Rectangulaire_Carré,7.18,12.24,392
2718,,Orange,0,4.91,Rectangulaire_Carré,7.18,12.24,392
2719,,Orange,0,4.91,Rectangulaire_Carré,7.18,12.24,392
2720,,Rouge,0,4.94,Rectangulaire_Carré,7.11,12.14,421
2721,,Rouge,0,4.94,Rectangulaire_Carré,7.11,12.14,421
2722,,Rouge,0,4.94,Rectangulaire_Carré,7.11,12.14,421
2723,,Rouge,0,4.94,Rectangulaire_Carré,7.11,12.14,421
2724,,Rouge,0,4.94,Rectangulaire_Carré,7.11,12.14,421
2725,,Rouge,0,4.94,Rectangulaire_Carré,7.11,12.14,421
2728,,Bleue,0,4.84,Rectangulaire_Carré,7.1,12.13,408
2729,,Bleue,0,4.84,Rectangulaire_Carré,7.1,12.13,408
2730,,Bleue,0,4.84,Rectangulaire_Carré,7.1,12.13,408
2734,,Bleue,0,4.72,Rectangulaire_Carré,7.16,12.2,404
2735,,Bleue,0,4.72,Rectangulaire_Carré,7.16,12.2,404
2736,,Vert,0,5.01,Rectangulaire_Carré,7.12,12.16,410
2737,,Vert,0,5.01,Rectangulaire_Carré,7.12,12.16,410
2738,,Vert,0,5.01,Rectangulaire_Carré,7.12,12.16,410
2739,,Vert,0,5.01,Rectangulaire_Carré,7.12,12.16,410
2740,,Vert,0,5.07,Rectangulaire_Carré,7.11,12.14,417
2741,,Vert,0,5.07,Rectangulaire_Carré,7.11,12.14,417
2742,,Vert,0,5.07,Rectangulaire_Carré,7.11,12.14,417
2743,,Grise,0,4.28,Rectangulaire_Carré,12.13,8.11,502
2744,,Grise,0,4.28,Rectangulaire_Carré,12.13,8.11,502
2745,,Rose,0,4.55,Rectangulaire_Carré,8.15,12.17,489
2746,,Rose,0,4.55,Rectangulaire_Carré,8.15,12.17,489
2756,,Violet,0,4.9,Polygonale,10,9,437
2757,,Violet,0,4.9,Polygonale,10,9,437
2758,,Violet,0,4.9,Polygonale,10,9,437
2763,,Rose,0,4.9,Autre,7,13,343.8
2764,,Rose,0,4.9,Autre,7,13,343.8
2765,,Rose,0,4.9,Autre,7,13,343.8
2766,,Rose,0,4.9,Autre,7,13,343.8
2767,,Rose,0,4.9,Autre,7,13,343.8
2878,,Jaune,0,0,Polygonale,0,0,0
2879,,Jaune,0,0,Polygonale,0,0,0
2900,,Bleue,0,5.9,Autre,15.16,10.23,646
2901,,Bleue,0,5.9,Autre,15.16,10.23,646
2902,,Bleue,0,5.9,Autre,15.16,10.23,646
2986,,Blanc Cassé,0,0,,0,0,0
3039,,Vert,0,6.17,Autre,11.17,9.12,474
3040,,Vert,0,6.17,Autre,11.17,9.12,474
