id,_3_4_methylene_dioxy_methylamphetamine,cafeine,couleur,heroine,noscapine,paracetamol
3886,,18.4,Beige,37.3,17.6,12.5
3887,,20.9,Beige,19,9.9,41.6
3888,,7.1,Beige,43.6,21.1,13.9
3889,,23.8,Beige,14.4,7,48.1
4030,,28.6,Beige,5.5,0,56.2
4031,,29.6,Beige,5.6,0,57.9
4032,,29.4,Beige,5.7,0,57.5
4033,,28.8,Beige,5.9,0,56.6
4087,,10.3,Beige,38.5,14.3,19.6
4154,,26.4,Beige,13.1,0,50.1
4182,,27.8,Beige,7.7,0,53.2
4186,,29.1,Beige,8,0,53.4
4244,,,Beige,49.8,25.2,
4245,,20.9,Beige,17.9,9.1,42.5
4246,,20.9,Beige,17.9,9.1,42.5
4247,,20.9,Beige,17.9,9.1,42.5
4248,,20.9,Beige,17.9,9.1,42.5
4290,,19.4,Beige,19.3,10.4,36
4291,,19.4,Beige,19.3,10.4,36
4292,,19.4,Beige,19.3,10.4,36
4293,,19.4,Beige,19.3,10.4,36
4294,,19.4,Beige,19.3,10.4,36
4295,,19.4,Beige,19.3,10.4,36
4296,,19.4,Beige,19.3,10.4,36
4327,,21.7,Beige,27.3,0,32.7
4328,,22,Beige,21,10,44
4329,,22,Beige,21,10,44
4330,,22,Beige,21,10,44
4370,,26,Beige,15,9,49
4371,,24,Beige,13,8,46
4372,,24,Beige,13,7,48
4373,,27,Beige,7,5,50
4374,,27,Beige,7,5,50
4388,,28,Beige,8,4,56
4436,,20.5,Beige,18,9.5,39.1
4437,,23.4,Beige,15.5,8.5,42.4
4477,,21,Beige,27,,40
4478,,,Beige,,,
4480,,20.5,Beige,13.5,7.4,39.4
4511,,25,Beige,13,7,46
4512,,22,Beige,15,10,44
4589,,,Marron,55.6,26.8,
4590,,,Marron,55.6,26.8,
4594,,3.7,Marron,49.9,24.8,7.5
4595,,3.7,Marron,49.9,24.8,7.5
4596,,3.7,Marron,49.9,24.8,7.5
4597,,3.7,Marron,49.9,24.8,7.5
4598,,3.7,Marron,49.9,24.8,7.5
4599,,3.7,Marron,49.9,24.8,7.5
4602,,28.3,Beige,5.6,0,55.9
4684,,24.4,Beige,13.2,8.5,48.1
4685,,24.4,Beige,13.2,8.5,48.1
4686,,24.4,Beige,13.2,8.5,48.1
4687,,18.6,Beige,22.7,14.35,36.5
4688,,18.6,Beige,22.7,14.35,36.5
4693,,,Beige,50.8,26.9,
4702,,21,Beige,19.8,8.6,45.4
4703,,21,Beige,19.8,8.6,45.4
4704,,21,Beige,19.8,8.6,45.4
4705,,21,Beige,19.8,8.6,45.4
4706,,21,Beige,19.8,8.6,45.4
4707,,21,Beige,19.8,8.6,45.4
4708,,21,Beige,19.8,8.6,45.4
4709,,21,Beige,19.8,8.6,45.4
4710,,28.4,Beige,9.6,,53.1
4711,,30,Beige,7.8,,57.1
4713,,29.6,Beige,5.7,,56.4
4733,,10.1,Marron,42.4,0,
4734,,10.2,Marron,53.4,0,
4735,,24.1,Marron,15.3,7.7,44.1
4737,,22.4,Marron,22.2,9.2,41.6
4738,,22.5,Marron,21.4,9,41.3
4791,,23.3,Beige,13.1,7.4,47.3
4797,,30,Beige,10,4,52
4798,,28,Marron,5,5,54
4836,,26.3,Beige,11.7,4.3,53.8
4840,,26.3,Beige,10,4.3,54.3
4841,,26.5,Beige,11.5,4.3,54.9
4880,,31.8,Beige,0,0,61.4
4899,,22,Beige,17.7,10.8,45
4928,,24.4,Beige,15.9,7.2,47
4937,,29,Beige,8,4,56
4965,,44,Beige,3,2,49
4966,,44,Beige,3,2,49
4970,,9,Beige,33,,5
4971,,9,Beige,33,,5
4972,,9,Beige,33,,5
4973,,9,Beige,33,,5
4974,,9,Beige,33,,5
4975,,9,Beige,33,,5
4976,,9,Beige,33,,5
5057,,23,Beige,13,7,49
5066,,27.1,Marron,8.3,0,53.4
5069,,30.3,Marron,0,0,55.8
5092,,,Beige,58.3,21.4,
5177,,23.9,Beige,14.3,10.7,48.1
5178,,23.9,Beige,14.3,10.7,48.1
5179,,23.9,Beige,14.3,10.7,48.1
5187,,31.8,Beige,12.5,7.6,43.2
5237,,25,Marron,13.7,6.1,49.7
5300,,25.3,Marron,14.6,6.7,48.5
5327,,,Marron,51,20.9,
5407,,30.2,Beige,5.6,0,58.3
5408,,30.2,Beige,5.6,0,58.3
5409,,30.2,Beige,5.6,0,58.3
5410,,30.2,Beige,5.6,0,58.3
5411,,30.2,Beige,5.6,0,58.3
5479,,14.6,Beige,34,,
5480,,27,Beige,2,5,52
5491,,21.1,Beige,16.5,8.4,50.1
5521,,35.2,Beige,11.1,6.1,46.9
5542,,31.6,Beige,8.7,0,45.4
5606,,34.4,Beige,0,,68.3
5610,,26.4,Marron,8.9,0,53.9
5622,,23.4,Marron,14.1,7.4,45
5634,,26,Beige,11,4,54
5635,,26,Beige,11,4,54
5636,,26,Beige,11,4,54
5637,,26,Beige,11,4,54
5652,,31.9,Beige,1.8,0,59.6
5653,,32.1,Beige,1.5,0,61.3
5654,,32.1,Beige,1.6,0,62.3
5655,,32.2,Beige,1.6,0,62.9
5656,,32.5,Beige,1.5,0,63.9
5661,,24.4,Beige,11.3,4.8,56.1
5662,,24.4,Beige,11.3,4.8,56.1
5663,,24.4,Beige,11.3,4.8,56.1
5664,,24.4,Beige,11.3,4.8,56.1
5665,,24.4,Beige,11.3,4.8,56.1
5666,,24.4,Beige,11.3,4.8,56.1
5667,,24.4,Beige,11.3,4.8,56.1
5668,,24.4,Beige,11.3,4.8,56.1
5669,,24.4,Beige,11.3,4.8,56.1
5670,,24.4,Beige,11.3,4.8,56.1
5675,,21,Marron,18.6,7.6,47.2
5682,,15,Beige,45.3,5.2,
5705,,0,Marron,61.2,15.8,0
5706,,23.1,Marron,16.6,0,49.5
5769,,9.3,Beige,50.4,5.2,
5770,,12.6,Beige,37.6,7.9,
5800,,10.4,Beige,37.4,17.5,22.5
5801,,10.4,Beige,37.5,17,22
5802,,10.2,Beige,37.3,17,20.9
5809,,8.5,Beige,55.8,6.3,
5814,,28.6,Beige,11.2,6.2,49.6
5824,,25.9,Beige,3.7,5.2,49.7
5825,,26,Beige,0,0,49.8
5836,,34.4,Beige,0,0,65.7
5838,,8.4,Beige,36.1,28.6,15
5839,,0,Beige,44.1,38.7,0
5840,,23.8,Beige,8.1,6.2,45
5841,,23.8,Beige,8.1,6.2,45
5842,,23.8,Beige,8.1,6.2,45
5843,,0,Beige,59.8,21.5,
5844,,16,Beige,26.1,13.7,28.8
5878,,,Marron,56.7,27.4,
5879,,,Marron,58.9,29.7,
