id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,couleur,diametre,epaisseur,forme,hauteur,largeur,masse
13449,0,0,Rose,0,5.46,Polygonale,10.12,14.13,580
13450,0,0,Rose,0,5.46,Polygonale,10.12,14.13,580
13451,0,0,Rose,0,5.46,Polygonale,10.12,14.13,580
13452,44,0,Rose,0,5.29,Autre,12.24,10.81,552
13453,0,0,Bleue,0,5.47,Polygonale,7.09,11.61,474
13454,0,0,Bleue,0,5.47,Polygonale,7.09,11.61,474
13455,0,0,Bleue,0,5.47,Polygonale,7.09,11.61,474
13456,0,0,Bleue,0,5.47,Polygonale,7.09,11.61,474
13457,0,0,Bleue,0,5.47,Polygonale,7.09,11.61,474
13458,30.1,0,Autre,0,5.05,Autre,11.25,12.28,508
13459,46.1,0,Jaune,0,6.58,Autre,12.08,10.03,542
13460,43.8,0,Vert,0,5.66,Autre,12.35,10.77,542
13461,32.4,0,Grise,0,4.5,Autre,11.22,12.24,439
13476,60.3,0,Violet,0,5.4,Polygonale,9.82,13.73,483
13477,18.1,0,Violet,0,4.45,Rectangulaire_Carré,6.13,11.17,359
13479,46.3,0,Grise,0,4.22,Polygonale,10.05,14.07,432
13480,46.3,0,Grise,0,4.22,Polygonale,10.05,14.07,432
13481,46.3,0,Grise,0,4.22,Polygonale,10.05,14.07,432
13482,46.3,0,Grise,0,4.22,Polygonale,10.05,14.07,432
13483,46.3,0,Grise,0,4.22,Polygonale,10.05,14.07,432
13485,47.5,0,Grise,0,3.91,Polygonale,9.73,13.75,428
13486,47.5,0,Grise,0,3.91,Polygonale,9.73,13.75,428
13487,47.5,0,Grise,0,3.91,Polygonale,9.73,13.75,428
13488,47.5,0,Grise,0,3.91,Polygonale,9.73,13.75,428
13489,47.5,0,Grise,0,3.91,Polygonale,9.73,13.75,428
13491,47.1,0,Vert,0,2.91,Autre,9.07,9.07,261
13492,47.1,0,Vert,0,2.91,Autre,9.07,9.07,261
13509,31.2,0,Vert,0,4.6,Autre,15.1,9.7,497
13510,31.2,0,Vert,0,4.6,Autre,15.1,9.7,497
13511,31.2,0,Vert,0,4.6,Autre,15.1,9.7,497
13512,31.2,0,Vert,0,4.6,Autre,15.1,9.7,497
13513,31.2,0,Vert,0,4.6,Autre,15.1,9.7,497
13590,92,0,Beige,0,0,,0,0,0
13615,95,0,Beige,0,0,,0,0,0
13616,96,0,Beige,0,0,,0,0,0
13617,98,0,Beige,0,0,,0,0,0
13618,96,0,Beige,0,0,,0,0,0
13619,97,0,Beige,0,0,,0,0,0
13620,92,0,Beige,0,0,,0,0,0
13638,0,0,Rose,0,4.1,Rectangulaire_Carré,12,6,350
13692,95,0,Vert,0,0,,0,0,0
13697,100,0,Blanche,0,0,,0,0,0
13698,100,0,Blanche,0,0,,0,0,0
13799,100,0,Beige,0,0,,0,0,0
13800,0,0,Translucide,0,0,,0,0,0
13801,0,0,Blanche,0,0,,0,0,0
13802,33.2,0,Jaune,0,4.94,Autre,12.06,10.61,495
13803,36.7,0,Rose,0,5.46,Autre,11.85,9.86,466
13804,36.2,0,Bleue,0,5.02,Autre,10.22,10.57,393
13805,27.3,0,Marron,0,5.59,Autre,11.77,10.21,455
13806,38.8,0,Grise,0,5.2,Autre,15.11,9.7,585
14021,0,0,Beige,0,0,,0,0,0
14058,0,0,Translucide,0,0,,0,0,0
14059,0,0,Translucide,0,0,,0,0,0
14061,0,0,Translucide,0,0,,0,0,0
14062,0,0,Translucide,0,0,,0,0,0
14115,0,0,Translucide,0,0,,0,0,0
14116,0,0,Translucide,0,0,,0,0,0
14220,0,0,Jaune,0,0,,0,0,0
14221,100,0,Beige,0,0,,0,0,0
14222,0,0,Blanche,0,0,,0,0,0
14223,0,0,Blanche,0,0,,0,0,0
